series_index,series_title,question_number,level,points,image_url,local_image_path,A,B,C,D,correct_answer_text,correct_letter
7,Série 7,33,C1,26,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194916275-m7v3fo.png,tcf_full_output\images\series_07_q33.png,Elle devrait être réformée de fond en comble,Elle est parsemée de prescriptions irrationnelles,Elle répond à certaines règles compréhensibles,Elle se maîtrise par des exercices de mémorisation,Elle répond à certaines règles compréhensibles,C
7,Série 7,34,C1,26,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194916735-u2p6pw.png,tcf_full_output\images\series_07_q34.png,La description du personnage,La longueur du texte,La qualité de l’écriture,Le déroulement des événements,Le déroulement des événements,D
7,Série 7,35,C1,26,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194916212-ocpxzo.png,tcf_full_output\images\series_07_q35.png,De laisser trop de temps à l’oisiveté,De s’écarter du modèle éducatif légal,De satisfaire avant tous les adultes,D’être à l’origine de l’échec scolaire,De satisfaire avant tous les adultes,C
7,Série 7,36,C2,33,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194916539-qqsqm1.png,tcf_full_output\images\series_07_q36.png,Les acheteurs opposés au téléchargement illégal,Les amateurs de subtilité et de raffinement musical,Les admirateurs inconditionnels de l’interprète,Les curieux en mal de musique expérimentale,Les amateurs de subtilité et de raffinement musical,B
7,Série 7,37,C2,33,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194916137-ha9iej.png,tcf_full_output\images\series_07_q37.png,Attirer davantage d’étudiants brillants,Être à la pointe de la technologie,Ouvrir ses cours à un public élargi,Proposer des disciplines inédites,Ouvrir ses cours à un public élargi,C
7,Série 7,38,C2,33,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194916297-1r7fwi.png,tcf_full_output\images\series_07_q38.png,Embaucher des parents défavorisés,Faciliter l’intégration professionnelle,Proposer des tarifs préférentiels en crèche,Trouver un accueil provisoire pour les enfants,Faciliter l’intégration professionnelle,B
7,Série 7,39,C2,33,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194916206-t36ovi.png,tcf_full_output\images\series_07_q39.png,Il constitue une création artistique novatrice,Il établit des ponts avec d’autres auteurs,Il fait connaître les travaux d’un écrivain,Il ouvre la voie à de prochaines réalisations,Il fait connaître les travaux d’un écrivain,C
8,Série 8,1,A1,3,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194920404-c4csfe.png,tcf_full_output\images\series_08_q01.png,La gare,Au travail,Chez une amie,En Allemagne,La gare,A
8,Série 8,2,A1,3,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194920174-8pyqwx.png,tcf_full_output\images\series_08_q02.png,De changer de coiffure,De devenir mannequin,De jouer un film,D’essayer un régime,De jouer un film,C
8,Série 8,3,A1,3,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194919239-ahvm05.png,tcf_full_output\images\series_08_q03.png,L’entrée,Le guide,Le repas,Le transport,Le transport,D
8,Série 8,4,A1,3,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194919231-xp9ar4.png,tcf_full_output\images\series_08_q04.png,Un acheteur,Un conseil,Un garage,Une voiture,Un acheteur,A
8,Série 8,5,A2,9,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194919476-3lp9ts.png,tcf_full_output\images\series_08_q05.png,Acheter un cadeau,Déjeuner ensemble,Regarder un film,Rencontrer une amie,Acheter un cadeau,A
8,Série 8,6,A2,9,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194920191-9tec8j.png,tcf_full_output\images\series_08_q06.png,Un concours de cuisine entre amis,Cuisiner entre anciens élèves,Un repas avec toute sa famille,Une fête de fin d’année scolaire,Cuisiner entre anciens élèves,B
8,Série 8,7,A2,9,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194920533-j12y62.png,tcf_full_output\images\series_08_q07.png,À un repas officiel,À un spectacle musical,À une fête de fin d’année,À une soirée dansante,À un repas officiel,A
8,Série 8,8,A2,9,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194920428-d05ko9.png,tcf_full_output\images\series_08_q08.png,Un salon des entrepreneurs,Une compétition sportive,Une conférence sur le chômage,Une manifestation sociale,Une manifestation sociale,D
8,Série 8,9,A2,9,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194920108-yexulw.png,tcf_full_output\images\series_08_q09.png,Cuisiner,Étudier,S’amuser,Se promener,S’amuser,C
8,Série 8,10,A2,9,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194920539-hj1au2.png,tcf_full_output\images\series_08_q10.png,Des cours de cuisine,Des menus différents,Des plats à emporter,Des tickets bon marché,Des menus différents,B
8,Série 8,11,B1,15,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194920436-6ed0mx.png,tcf_full_output\images\series_08_q11.png,Apprendre à jouer d’un instrument de musique,Faire de la musique avec d’autres personnes,Organiser des concerts de musique gratuits,Rencontrer des professionnels de la musique,Faire de la musique avec d’autres personnes,B
8,Série 8,12,B1,15,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194920391-7yj2ts.png,tcf_full_output\images\series_08_q12.png,Leur couleur,Leur forme,Leur prix,Leur taille,Leur forme,B
8,Série 8,13,B1,15,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194920553-s15elq.png,tcf_full_output\images\series_08_q13.png,Elle est bonne pour la santé,Elle facilite la socialisation,Elle développe la mémoire,Elle enrichit la personnalité,Elle est bonne pour la santé,A
8,Série 8,14,B1,15,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194920700-n7s7ag.png,tcf_full_output\images\series_08_q14.png,Elle compare leurs caractéristiques,Elle les donne à des associations,Elle les remet aux normes,Elle les revend d’occasion,Elle les revend d’occasion,D
8,Série 8,15,B1,15,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194920873-x52m31.png,tcf_full_output\images\series_08_q15.png,Obtenir un poste chez un libraire,Se spécialiser dans l'art et la culture.,S'inscrire à un cours de langue.,Travailler dans une maison d'édition.,Travailler dans une maison d'édition.,D
8,Série 8,16,B1,15,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194920417-4sldqm.png,tcf_full_output\images\series_08_q16.png,Dans la création d’entreprise,Dans la promotion de produits,Dans la protection des droits,Dans la rédaction des notices,Dans la protection des droits,C
8,Série 8,17,B1,15,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194920705-eimylp.png,tcf_full_output\images\series_08_q17.png,Des enregistrements sonores d’article de journal,Des extraits choisis de romans classiques,Des publications résumées des contenus de sites web,Des sélections de répliques de théâtres célèbres,Des enregistrements sonores d’article de journal,A
8,Série 8,18,B1,15,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194920204-3cfn99.png,tcf_full_output\images\series_08_q18.png,Aux familles qui ont des factures élevées,Aux jeunes qui veulent vivre en colocation,Aux locataires qui ont de faibles revenus,Aux personnes qui cherchent un logement,Aux locataires qui ont de faibles revenus,C
8,Série 8,19,B1,15,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194919247-mhw3uc.png,tcf_full_output\images\series_08_q19.png,L’anxiété en avion diminue la sensation de faim,La qualité de la nourriture se détériore en altitude,Le bruit altère le sens du goût des passagers,Les plats proposés en vol manquent de saveur,Le bruit altère le sens du goût des passagers,C
8,Série 8,20,B2,21,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194920360-r8zz7j.png,tcf_full_output\images\series_08_q20.png,Améliorer les capacités physiques,Découvrir de nouveaux types de sports,Développer le cercle de ses relations sociales,Maintenir les performances de la mémoire,Maintenir les performances de la mémoire,D
8,Série 8,21,B2,21,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194920710-yhk1rg.png,tcf_full_output\images\series_08_q21.png,Accéder à la propriété privée,Avoir un mode de vie économique,Participer à la vie associative,Tenter une nouvelle aventure,Tenter une nouvelle aventure,D
8,Série 8,22,B2,21,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194920423-k52tql.png,tcf_full_output\images\series_08_q22.png,L’attirance pour les études,L’appel des pays chauds,Le besoin d’interaction social,Le désir de reconnaissance,Le besoin d’interaction social,C
8,Série 8,23,B2,21,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194920156-8dzdhj.png,tcf_full_output\images\series_08_q23.png,Elle le trouve juste bon pour la télévision,Elle trouve certaines scènes très amusantes,Elle trouve l’ensemble très réussi,Elle trouve les acteurs très peu crédibles,Elle trouve l’ensemble très réussi,C
8,Série 8,24,B2,21,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194919820-4z1bqv.png,tcf_full_output\images\series_08_q24.png,L’originalité des plats,La qualité des produits,Le cadre du restaurant,Le prix des menus,L’originalité des plats,A
8,Série 8,25,B2,21,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194920380-3ekwji.png,tcf_full_output\images\series_08_q25.png,Les enfants ont des difficultés de concentration dans ce domaine,Les équipements informatiques des écoles sont devenus obsolètes,Les établissements doivent se doter d’une connexion illimitée,Les professeurs avec des compétences nécessaires sont rares,Les professeurs avec des compétences nécessaires sont rares,D
8,Série 8,26,B2,21,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194920367-75anfh.png,tcf_full_output\images\series_08_q26.png,Faire la promotion de l’apprentissage d’un métier auprès des jeunes,Former les professeurs à de nouvelles méthodes d’enseignement,Présenter les opportunités de stages en entreprise dans la région,Proposer aux étudiants des stratégies de recherche d’emploi,Faire la promotion de l’apprentissage d’un métier auprès des jeunes,A
8,Série 8,27,B2,21,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194920467-4la3uq.png,tcf_full_output\images\series_08_q27.png,Elle appauvrit le lexique courant,Elle modifie le rapport au temps,Elle provoque la fin du courrier postal,Elle transforme le geste graphique,Elle modifie le rapport au temps,B
8,Série 8,28,B2,21,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194920527-na8uoi.png,tcf_full_output\images\series_08_q28.png,L’affectation qu’elle portait à ses admirateurs,L’originalité qui caractérisait le choix de ses rôles,La générosité qu’elle manifestait dans sa vie,La séduction qui était son principal atout,La générosité qu’elle manifestait dans sa vie,C
8,Série 8,29,B2,21,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194920601-sqvp6h.png,tcf_full_output\images\series_08_q29.png,Il a hérité de son père cette fascination qui ne l’a jamais quitté,Il a longtemps souhaité la publication de ses photographies,Il n’a jamais aimé la photographie qu’il considère comme une perte de temps,"Il déclare que la photographie était une part nécessaire, mais non essentielle à son travail","Il déclare que la photographie était une part nécessaire, mais non essentielle à son travail",D
8,Série 8,30,C1,26,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194920509-hejo4k.png,tcf_full_output\images\series_08_q30.png,Elle doit se fonder sur l’estime mutuelle,Elle s’obtient par le recours à l’autorité,Elle passe par le suivi de règles immuables,Elle repose sur la quête du bonheur,Elle doit se fonder sur l’estime mutuelle,A
8,Série 8,31,C1,26,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194920481-ia401g.png,tcf_full_output\images\series_08_q31.png,L’absence totale des signes visuels du langage,L’opposition des familles à leurs interventions,La nécessité de modérer le ton des échanges,Les nombreuses remarques des participants,L’absence totale des signes visuels du langage,A
8,Série 8,32,C1,26,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194920722-z611oc.png,tcf_full_output\images\series_08_q32.png,Pour bénéficier des aides financières de l’Union,Pour mieux contrôler ses établissements financiers,Pour redonner de la valeur à la monnaie nationale,Pour sortir de la crise que son économie subissait,Pour sortir de la crise que son économie subissait,D
8,Série 8,33,C1,26,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194920487-74g117.png,tcf_full_output\images\series_08_q33.png,L’absence du père oblige les mères à mettre leur vie affective entre parenthèses,La société actuelle accepte mal qu’un enfant soit élevé uniquement par son père,Les pères considèrent que l’absence de la mère doit être absolument compensée,Les pères seuls reconstruisent vite une vie de couple après une séparation,La société actuelle accepte mal qu’un enfant soit élevé uniquement par son père,B
8,Série 8,34,C1,26,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194920615-2d70rp.png,tcf_full_output\images\series_08_q34.png,Les gestes révèleraient systématiquement la langue maternelle des locuteurs,"Il existerait un ordre universel de la pensée, indépendant de l’ordre linguistique",Il y aurait autant de façons de penser que de structures de langue différentes,Les structures des langues seraient dépendantes de notre expérience du monde,"Il existerait un ordre universel de la pensée, indépendant de l’ordre linguistique",B
8,Série 8,35,C1,26,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194920349-0edvm4.png,tcf_full_output\images\series_08_q35.png,De laisser trop de temps à l’oisiveté,De s’écarter du modèle éducatif légal,De satisfaire avant tout les adultes,D’être à l’origine de l’échec scolaire,De satisfaire avant tout les adultes,C
8,Série 8,36,C2,33,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194920583-bmq7s9.png,tcf_full_output\images\series_08_q36.png,Il revit les souvenirs lointains dans le bureau de la maison familiale,Il se rappelle une pièce de travail poussiéreuse interdite aux enfants,Il raconte son apprentissage de la lecture auprès de son grand-père,Il évoque ses rentrées scolaires alors qu’il ne savait pas encore lire,Il revit les souvenirs lointains dans le bureau de la maison familiale,A
8,Série 8,37,C2,33,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194920099-gwiih8.png,tcf_full_output\images\series_08_q37.png,Une adéquation avec l’attente des lecteurs,Une diffusion abusive de copies illégales,Une offre promotionnelle provisoire,Une perte croissante du nombre d’abonnés,Une diffusion abusive de copies illégales,B
8,Série 8,38,C2,33,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194920495-9zgdl4.png,tcf_full_output\images\series_08_q38.png,Améliorer la cohabitation entre les habitants et les noctambules,Attirer les spectateurs parisiens vers les spectacles de rue,Développer un nouveau concept des lieux silencieux,Relancer la fréquentation nocturne des quartiers réservés,Améliorer la cohabitation entre les habitants et les noctambules,A
8,Série 8,39,C2,33,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194920460-grk7kc.png,tcf_full_output\images\series_08_q39.png,Celles des critiques,Celles des auteurs,Celles des éditeurs,Celles des lecteurs,Celles des lecteurs,D
9,Série 9,1,A1,3,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194924256-glp4dt.png,tcf_full_output\images\series_09_q01.png,Un appartement,Un restaurant,Un voyage,Une voiture,Un appartement,A
9,Série 9,2,A1,3,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194924185-nawsez.png,tcf_full_output\images\series_09_q02.png,Des cours particuliers,Des jobs pendant le Week-end,Des rencontres entre jeunes,Des voyages à l’étranger,Des rencontres entre jeunes,C
9,Série 9,3,A1,3,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194923080-t0qkxj.png,tcf_full_output\images\series_09_q03.png,Il va avoir de nouveaux horaires,Il va changer de propriétaire,Il va déménager en septembre,Il va fermer pendant l’été,Il va fermer pendant l’été,D
9,Série 9,4,A1,3,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194923072-pesqbi.png,tcf_full_output\images\series_09_q04.png,Une naissance,Une exposition,Un anniversaire,Un mariage,Une naissance,A
9,Série 9,5,A2,9,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194924042-gyvg20.png,tcf_full_output\images\series_09_q05.png,Canadienne,Espagnole,Italienne,Mexicaine,Espagnole,B
9,Série 9,6,A2,9,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194924143-7s4t1z.png,tcf_full_output\images\series_09_q06.png,Au personnel,Aux étudiants,Aux parents,Aux professeurs,Aux étudiants,B
9,Série 9,7,A2,9,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194924470-qrvxjc.png,tcf_full_output\images\series_09_q07.png,En décembre,En février,En mai,En mars,En mai,C
9,Série 9,8,A2,9,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194924296-fezd1z.png,tcf_full_output\images\series_09_q08.png,Un court séjour touristique,Une leçon de cuisine,Une participation à un concours,Une réduction pour le train,Un court séjour touristique,A
9,Série 9,9,A2,9,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194924062-7865t1.png,tcf_full_output\images\series_09_q09.png,L’alimentation,L’éducation,La cuisine,Le commerce,L’alimentation,A
9,Série 9,10,A2,9,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194924282-5ibvdi.png,tcf_full_output\images\series_09_q10.png,Dans la journée,Le lendemain,Le soi-même,Vendredi matin,Le lendemain,B
9,Série 9,11,B1,15,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194924202-xjj30e.png,tcf_full_output\images\series_09_q11.png,Apprendre à jouer d’un instrument de musique,Faire de la musique avec d’autres personnes,Organiser des concerts de musique gratuits,Rencontrer des professionnels de la musique,Faire de la musique avec d’autres personnes,B
9,Série 9,12,B1,15,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194924787-se8oh2.png,tcf_full_output\images\series_09_q12.png,Pour éviter de tomber malades,Pour profiter de tarifs avantageux,Pour protéger l’environnement,Pour soutenir les paysans locaux,Pour éviter de tomber malades,A
9,Série 9,13,B1,15,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194924315-tkprbc.png,tcf_full_output\images\series_09_q13.png,C’est son mode de communication favori,Il a entamé une formation de journaliste,Il peut partager sa passion avec un public,Pour répondre aux attentes de son public,Il peut partager sa passion avec un public,C
9,Série 9,14,B1,15,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194924372-5bv5rc.png,tcf_full_output\images\series_09_q14.png,Aider les couples en mal d’enfant,Défendre les droits des enfants,Donner une famille aux enfants,Fournir un hébergement aux enfants,Donner une famille aux enfants,C
9,Série 9,15,B1,15,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194924235-lcnr2m.png,tcf_full_output\images\series_09_q15.png,La mairie de Paris va essayer de s’opposer aux livres électroniques,Les bibliothèques risquent de fermer à cause des livres électroniques,Les Français préfèrent les livres électroniques aux livres traditionnels,Les Parisiens peuvent accéder facilement à des livres électroniques,Les Parisiens peuvent accéder facilement à des livres électroniques,D
9,Série 9,16,B1,15,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194924122-wjxdcs.png,tcf_full_output\images\series_09_q16.png,Il a appris plusieurs langues avec des manuels,Il a enseigné les langues anciennes au lycée,Il est passionné d’ouvrages sur les langues,Il va publier dans une revue sur les langues,Il est passionné d’ouvrages sur les langues,C
9,Série 9,17,B1,15,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194924413-ybwyyx.png,tcf_full_output\images\series_09_q17.png,Consulter sa boite de réception de courriels,Écrire au responsable de la formation choisie,S’informer sur le site internet www.univ.fr,Téléphoner au département communication,Consulter sa boite de réception de courriels,A
9,Série 9,18,B1,15,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194924131-i2ijzs.png,tcf_full_output\images\series_09_q18.png,Aux familles qui ont des factures élevées,Aux jeunes qui veulent vivre en colocation,Aux locataires qui ont de faibles revenus,Aux personnes qui achètent un logement,Aux locataires qui ont de faibles revenus,C
9,Série 9,19,B1,15,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194923089-bf8uy4.png,tcf_full_output\images\series_09_q19.png,Il cite un extrait d’une œuvre de Modiano,Il explique l’idée de départ d’un livre de Modiano,Il présente le métier de Modiano à ses débuts,Il raconte la rencontre entre Modiano et sa femme,Il explique l’idée de départ d’un livre de Modiano,B
9,Série 9,20,B2,21,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194924243-lnvg4q.png,tcf_full_output\images\series_09_q20.png,Améliorer les capacités physiques,Découvrir de nouveaux types de sports,Développer le cercle de ses relations sociales,Maintenir les performances de la mémoire,Maintenir les performances de la mémoire,D
9,Série 9,21,B2,21,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194924974-914pdk.png,tcf_full_output\images\series_09_q21.png,Annoncer la signature d’un accord de coopération,Communiquer une offre de stage de fin d’études,Faire part de la réponse d’un responsable,Informer sur le profil d’un poste disponible,Faire part de la réponse d’un responsable,C
9,Série 9,22,B2,21,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194924276-lhmc63.png,tcf_full_output\images\series_09_q22.png,Il néglige les commerces dans les rues piétonnes,Il rend difficile l’accès aux secteurs touristiques,Il répond peu aux besoins en pistes cyclables des habitants,Il risque d’entraver la circulation des véhicules de secours,Il risque d’entraver la circulation des véhicules de secours,D
9,Série 9,23,B2,21,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194924101-4t4jd3.png,tcf_full_output\images\series_09_q23.png,Ils éloignent les jeunes du monde des adultes,Ils entraînent des comportements types addictifs,Ils ont tendance à couper les adolescents du réel,Ils peuvent être utilisés comme outils de contrôle,Ils peuvent être utilisés comme outils de contrôle,D
9,Série 9,24,B2,21,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194924228-4pc3o8.png,tcf_full_output\images\series_09_q24.png,Elle demande des connaissances techniques poussées,Elle empêche les jeunes utilisateurs de se concentrer,Elle masque les problèmes pédagogiques essentiels,Elle sert sans succès d’argument commercial,Elle masque les problèmes pédagogiques essentiels,C
9,Série 9,25,B2,21,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194924190-r6e2s3.png,tcf_full_output\images\series_09_q25.png,Faire la promotion de l’apprentissage d’un métier auprès des jeunes,Former les professeurs à de nouvelles méthodes d’enseignement,Présenter les opportunités de stage en entreprise dans la région,Proposer aux étudiants des stratégies de recherche d’emploi,Faire la promotion de l’apprentissage d’un métier auprès des jeunes,A
9,Série 9,26,B2,21,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194924426-rcccb9.png,tcf_full_output\images\series_09_q26.png,Elles font partie de la gastronomie régionale,Les gens en mangent plus que par le passé,Les médecins conseillent leur usage en cuisine,Leur culture augmente rapidement sur les côtes,Les gens en mangent plus que par le passé,B
9,Série 9,27,B2,21,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194924463-yaui2z.png,tcf_full_output\images\series_09_q27.png,D’un catalogue de styliste,D’un dictionnaire philosophique,D’un manuel d’histoire de l’art,D’une présentation de musée,D’un catalogue de styliste,A
9,Série 9,28,B2,21,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194924180-ebdo4y.png,tcf_full_output\images\series_09_q28.png,La manipulation des clients par les industriels,L’attitude imprévisible des consommateurs,L’uniformisation des saveurs et des goûts,L’utilisation abusive des produits de synthèse,La manipulation des clients par les industriels,A
9,Série 9,29,B2,21,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194924251-e9bf0k.png,tcf_full_output\images\series_09_q29.png,Le recours à l’énergie nucléaire sera toujours indispensable,Le développement d’autres énergies que le nucléaire est superflu,Le renoncement au nucléaire doit être mûrement planifié,L’exploitation des forêts peut pallier entièrement le nucléaire,Le renoncement au nucléaire doit être mûrement planifié,C
9,Série 9,30,C1,26,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194924305-7m9npd.png,tcf_full_output\images\series_09_q30.png,Guérir de leurs troubles du langage,Intégrer une classe traditionnelle,Préparer leur entrée au collègue,Profiter d’un encadrement spécifique,Profiter d’un encadrement spécifique,D
9,Série 9,31,C1,26,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194924357-mkcrbf.png,tcf_full_output\images\series_09_q31.png,Sa connaissance des médias,Sas méthodes ancestrales,Ses recettes originales,Son charisme incroyable,Son charisme incroyable,D
9,Série 9,32,C1,26,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194925005-nu1fx9.png,tcf_full_output\images\series_09_q32.png,De participer à l’exploration du monde numérique,De restreindre le temps consacré aux jeux vidéo,De sélectionner des contenus adaptés aux enfants,De surveiller la navigation des jeunes sur la toile,De participer à l’exploration du monde numérique,A
9,Série 9,33,C1,26,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194924959-cbqv1y.png,tcf_full_output\images\series_09_q33.png,Convertir les lieux en maison de la culture,Diffuser l’art dans des endroits inattendus,Ouvrir un centre de formation artistique,Rénover les anciens locaux en les décorant,Diffuser l’art dans des endroits inattendus,B
9,Série 9,34,C1,26,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194924981-dtqj8i.png,tcf_full_output\images\series_09_q34.png,Dans un centre de relaxation,Dans un laboratoire,Dans un musée archéologique,Dans un parc naturel,Dans un parc naturel,D
9,Série 9,35,C1,26,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194924217-xenvdo.png,tcf_full_output\images\series_09_q35.png,Il apaise les tensions de la société,Il insiste sur le point de vue matériel,Il propose des programmes utopiques,Il traite les problèmes liés aux sols,Il insiste sur le point de vue matériel,B
9,Série 9,36,C2,33,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194924782-qdqcc9.png,tcf_full_output\images\series_09_q36.png,L’influence de ses contemporains,La singularité de ses portraits,Son engouement pour la nature,Son travail post- impressionniste,La singularité de ses portraits,B
9,Série 9,37,C2,33,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194924082-07tnbk.png,tcf_full_output\images\series_09_q37.png,La capacité des plantes à nettoyer les sols.,La rentabilité d’un nouveau système d’extraction.,Le résultat des recherches de M. Van der Hent,Les préoccupations écologistes des industriels,Les préoccupations écologistes des industriels,D
9,Série 9,38,C2,33,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194924325-b75yju.png,tcf_full_output\images\series_09_q38.png,La dégradation des relations sociales à cause d’internet,La multiplication des sources d’information,La nocivité des écrans sur le développement des enfants,La recrudescence d’informations mensongères,La multiplication des sources d’information,B
9,Série 9,39,C2,33,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194924171-bbydns.png,tcf_full_output\images\series_09_q39.png,Il constitue une création artistique novatrice,Il établit des ponts avec d’autres auteurs,Il fait connaitre les travaux d’un écrivain,Il ouvre la voie à de prochaines réalisations,Il fait connaitre les travaux d’un écrivain,C
10,Série 10,1,A1,3,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194907758-nvjg6e.png,tcf_full_output\images\series_10_q01.png,Il a perdu ses papiers,Il a trop de travail,Il est très malade,Il part en vacances,Il est très malade,C
10,Série 10,2,A1,3,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194907805-tjnnwg.png,tcf_full_output\images\series_10_q02.png,L’escalier,La station de métro,Les ascenseurs,Les guichets,Les ascenseurs,C
10,Série 10,3,A1,3,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194906830-vg2pxz.png,tcf_full_output\images\series_10_q03.png,D’écouter une histoire,De faire des gâteaux,De jouer aux cartes,De regarder un film,De regarder un film,D
10,Série 10,4,A1,3,https://qrcmv2rhibwpawwn.public.blob.vercel-storage.com/images/1767194906844-r79scs.png,tcf_full_output\images\series_10_q04.png,Dans un café,Dans un cinéma,Dans une boutique,Dans une entreprise,Dans une entreprise,D
